"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"
"CHEMBL382666"	""	"None"	"223.32"	"0"	"1.26"	"12"	"CC(C)(C)[C@H](N)C(=O)N(CC#N)C1CCC1"	"Ki"	"'='"	"140.0"	"nM"	"6.85"	""	""	"UO_0000065"	"30.69"	"0.59"	"5.59"	"9.77"	"0"	"CHEMBL867212"	"Inhibition of DPP4"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1139028"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""
"CHEMBL1215164"	""	"None"	"434.33"	"0"	"3.68"	"24o"	"Cc1nc2nc(C(=O)N3COCC3(C)C)cn2c(-c2ccc(Cl)cc2Cl)c1CN"	"Ki"	"'='"	"0.6"	"nM"	"9.22"	""	""	"UO_0000065"	"21.23"	"0.43"	"5.54"	"10.75"	"0"	"CHEMBL1218970"	"Inhibition of human recombinant DPP4 assessed as Gly-Pro-pNA cleavage"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1212920"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"None"	""	""
"CHEMBL1215374"	""	"None"	"469.38"	"0"	"4.15"	"24bb"	"Cc1cccc(CNCC(=O)c2cn3c(-c4ccc(Cl)cc4Cl)c(CN)c(C)nc3n2)n1"	"Ki"	"'='"	"5.4"	"nM"	"8.27"	""	""	"UO_0000065"	"17.61"	"0.35"	"4.12"	"8.42"	"0"	"CHEMBL1218970"	"Inhibition of human recombinant DPP4 assessed as Gly-Pro-pNA cleavage"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1212920"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"None"	""	""
"CHEMBL1214876"	""	"None"	"379.25"	"0"	"3.65"	"20, atropisomer"	"CCOC(=O)c1cn2c(-c3ccc(Cl)cc3Cl)c(CN)c(C)nc2n1"	"Ki"	"'='"	"11.7"	"nM"	"7.93"	""	""	"UO_0000065"	"20.91"	"0.43"	"4.28"	"9.61"	"0"	"CHEMBL1218970"	"Inhibition of human recombinant DPP4 assessed as Gly-Pro-pNA cleavage"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1212920"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"None"	""	""
"CHEMBL461912"	""	"None"	"224.31"	"0"	"-0.04"	"28"	"N#C[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN"	"Ki"	"'='"	"5.2"	"nM"	"8.28"	""	""	"UO_0000065"	"36.93"	"0.71"	"8.32"	"8.62"	"0"	"CHEMBL664122"	"In vitro test for inhibitory activity against human dipeptidyl peptidase IV."	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1128915"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"1996"	"None"	""	""
"CHEMBL2441836"	""	"None"	"380.28"	"0"	"3.42"	"3c, Less active atropisomer"	"COCCN1Cc2nc(C)c(CN)c(-c3ccc(Cl)cc3Cl)c2C1=O"	"Ki"	"'='"	"160.0"	"nM"	"6.80"	""	""	"UO_0000065"	"17.87"	"0.37"	"3.38"	"9.93"	"0"	"CHEMBL2444439"	"Inhibition of human DPP4 assessed as Gly-Pro-pNA cleavage preincubated for 40 mins followed by substrate addition"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2439999"	"1"	"Scientific Literature"	"J Med Chem"	"2013"	"None"	""	""
"CHEMBL3350929"	""	"None"	"293.37"	"0"	"-0.26"	"18d"	"N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C1(C(O)CO)CCCC1"	"Ki"	"'='"	"143.0"	"nM"	"6.84"	""	""	"UO_0000065"	"23.33"	"0.45"	"7.10"	"6.19"	"0"	"CHEMBL839953"	"In vitro inhibition constant against human Dipeptidyl peptidase IV"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1140346"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"None"	""	""
"CHEMBL385517"	"SAXAGLIPTIN"	"4.0"	"315.42"	"0"	"1.16"	"26"	"N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2"	"Ki"	"'='"	"0.6"	"nM"	"9.22"	""	""	"UO_0000065"	"29.24"	"0.55"	"8.06"	"10.21"	"1"	"CHEMBL839953"	"In vitro inhibition constant against human Dipeptidyl peptidase IV"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1140346"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"None"	""	""
"CHEMBL216410"	""	"None"	"242.08"	"None"	"None"	"9"	"CC(C)C(=O)NCC(=O)N1CCC[C@H]1B(O)O"	"Ki"	"'='"	"4300.0"	"nM"	"5.37"	""	""	"UO_0000065"	"22.17"	"None"	"None"	"None"	"0"	"CHEMBL908231"	"Inhibition constant against DPP-4"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1137598"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"None"	""	""
"CHEMBL199633"	""	"None"	"395.50"	"0"	"1.60"	"39"	"CC(C)([C@H](N)C(=O)N1C[C@@H](F)C[C@H]1C#N)S(=O)(=O)CCCc1ccccc1"	"Ki"	"'='"	"302.0"	"nM"	"6.52"	""	""	"UO_0000065"	"16.49"	"0.33"	"4.92"	"6.25"	"0"	"CHEMBL863964"	"Inhibitory activity against human DPP4"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL284"	"Dipeptidyl peptidase IV"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1141969"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2005"	"None"	""	""
