#SMILES	StructureSource	IdentifierType	IdentifierValue
N1(C(N(C(=CC1=O)N2C[C@@H](CCC2)N)CC=3C=CC=CC3C#N)=O)CC	US08288539-20121016-C00038.CDX	Compound	5
N1C(N(C(=CC1=O)N2C[C@@H](CCC2)N)CC=3C=CC=CC3C#N)=O	US08288539-20121016-C00039.CDX	Compound	6
N1(C(N(C(=C(C1=O)Cl)N2C[C@@H](CCC2)N)CC=3C=CC=CC3C#N)=O)C	US08288539-20121016-C00040.CDX	Compound	7
N1C(N(C(=CC1=O)N2C[C@@H](CCC2)N)CC=3C=CC=CC3Br)=O	US08288539-20121016-C00041.CDX	Compound	8
N1C(N(C(=CC1=O)N2C[C@@H](CCC2)N)CC=3C=CC=CC3I)=O	US08288539-20121016-C00042.CDX	Compound	9
N1(C(N(C(=CC1=O)N2CCC[C@H](C2)N)CC3=CC(=CC=C3Br)F)=O)C	US08288539-20121016-C00043.CDX	Compound	10
N1(C(N(C(=CC1=O)N2CCC[C@H](C2)N)CC3=CC(=CC=C3Cl)F)=O)C	US08288539-20121016-C00044.CDX	Compound	11
N1(C(N(C(=CC1=O)N2CCC[C@H](C2)N)CC3=CC=C(C=C3Cl)F)=O)C	US08288539-20121016-C00045.CDX	Compound	12
N1(C(N(C(=CC1=O)N2CCC[C@H](C2)N)CC3=CC=CC=C3Br)=O)C	US08288539-20121016-C00046.CDX	Compound	13
C1(=C(C=CC=C1)C#N)CN2C(N(C(C=C2NCCN)=O)CC)=O	US08288539-20121016-C00048.CDX	Compound	16
C1(=CC=CC(=C1)CN2C(N(C(=CC2=O)N3CCC[C@H](C3)N)CC=4C=CC=CC4C#N)=O)C#N	US08288539-20121016-C00049.CDX	Compound	17
C1=CC=CC(=C1C#N)CN2C(N(C(=CC2=O)N3CCC[C@H](C3)N)CC=4C=CC=CC4C#N)=O	US08288539-20121016-C00050.CDX	Compound	18
C1=C(C=CC(=C1)CN2C(N(C(=CC2=O)N3CCC[C@H](C3)N)CC=4C=CC=CC4C#N)=O)C#N	US08288539-20121016-C00051.CDX	Compound	19
C1C[C@H](CN(C1)C=2N(C(N(C(C2)=O)CC3=NC4=C(N3)C=CC=C4)=O)CC5=C(C=CC=C5)C#N)N	US08288539-20121016-C00052.CDX	Compound	20
C1C[C@H](CN(C1)C=2N(C(N(C(C2)=O)CC=3C=CC(=CC3)N4C=CC=N4)=O)CC5=C(C=CC=C5)C#N)N	US08288539-20121016-C00053.CDX	Compound	21
C1C[C@H](CN(C1)C=2N(C(N(C(C2)=O)CC=3C=CC=C(C3)N4C=CC=C4)=O)CC5=C(C=CC=C5)C#N)N	US08288539-20121016-C00054.CDX	Compound	22
C1=CC(=C(C=C1)C#N)CN2C(N(C(C=C2N3CCC[C@H](C3)N)=O)CC=4SC=CC4C#N)=O	US08288539-20121016-C00055.CDX	Compound	23
C1=CC=CC(=C1CN2C(=CC(N(C2=O)CC=3C=CC=C(C3)C(=O)OC)=O)N4C[C@@H](CCC4)N)C#N	US08288539-20121016-C00056.CDX	Compound	24
C1C[C@H](CN(C1)C=2N(C(N(C(C2)=O)CC=3C=CC=C(C3)C(O)=O)=O)CC4=C(C=CC=C4)C#N)N	US08288539-20121016-C00057.CDX	Compound	25
C1=C(C(=CC(=C1)F)CN2C(N(C(=CC2=O)N3CCC[C@H](C3)N)CC4=CC(=CC=C4Br)F)=O)Br	US08288539-20121016-C00058.CDX	Compound	26
N1C(N(C(=C(C1=O)Cl)N2C[C@@H](CCC2)N)CC=3C=CC=CC3C#N)=O	US08288539-20121016-C00059.CDX	Compound	27
N1(C(N(C(=CC1=O)N2CCC[C@H](C2)N)CC3=CC(=CC=C3Cl)Cl)=O)C	US08288539-20121016-C00060.CDX	Compound	28
N1(C(N(C(=CC1=O)N2CCC[C@H](C2)N)CC3=C(C=CC(=C3Cl)F)F)=O)C	US08288539-20121016-C00061.CDX	Compound	29
C1(=CC(=C(C=C1)C#N)CN2C(N(C(C=C2N3CCC[C@](C3)(N)C)=O)C)=O)F	US08288539-20121016-C00062.CDX	Compound	30
C1(=CC(=C(C=C1)C#N)CN2C(N(C(C=C2N3CCC[C@H](C3)N)=O)C)=O)F	US08288539-20121016-C00063.CDX	Compound	34
ClC1=CC(NC(N1CC1=C(C#N)C=CC=C1)=O)=O	2-(6-Chloro-2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-ylmethyl)-benzonitrile	CompoundOrExample	2
ClC1=CC(N(C(N1CC1=C(C#N)C=CC=C1)=O)C)=O	2-(6-Chloro-3-methyl-2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-ylmethyl)-benzonitrile	CompoundOrExample	3
N[C@H]1CN(CCC1)C1=CC(N(C(N1CC1=C(C#N)C=CC=C1)=O)C)=O	2-{6-[3(R)-Amino-piperidin-1-yl]-3-methyl-2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-ylmethyl}-benzonitrile	CompoundOrExample	4
C(C1=CC=CC=C1)(=O)O.NC1CN(CCC1)C1=CC(N(C(N1CC1=C(C#N)C=CC=C1)=O)C)=O	2-[6-(3-amino-piperidin-1-yl)-3-methyl-2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-ylmethyl]-benzonitrile benzoate	CompoundOrExample	4
OC(=O)C(F)(F)F.N[C@H]1CN(CCC1)C1=CC(N(C(N1CC1=C(C#N)C=CC=C1)=O)CC)=O	2-{6-[3(R)-Amino-piperidin-1-yl]-3-ethyl-2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-ylmethyl}-benzonitrile TFA salt	CompoundOrExample	5
N[C@H]1CN(CCC1)C1=CC(NC(N1CC1=C(C#N)C=CC=C1)=O)=O	2-{6-[3(R)-Amino-piperidin-1-yl]-2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-ylmethyl}-benzonitrile	CompoundOrExample	6
N[C@H]1CN(CCC1)C1=C(C(N(C(N1CC1=C(C#N)C=CC=C1)=O)C)=O)Cl	2-{6-[3(R)-Amino-piperidin-1-yl]-5-chloro-3-methyl-2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-ylmethyl}-benzonitrile	CompoundOrExample	7
N[C@H]1CN(CCC1)C1=CC(NC(N1CC1=C(C=CC=C1)Br)=O)=O	6-[3(R)-Amino-piperidin-1-yl]-1-(2-bromo-benzyl)-1H-pyrimidine-2,4-dione	CompoundOrExample	8
N[C@H]1CN(CCC1)C1=CC(NC(N1CC1=C(C=CC=C1)I)=O)=O	6-[3(R)-Amino-piperidin-1-yl]-1-(2-iodo-benzyl)-1H-pyrimidine-2,4-dione	CompoundOrExample	9
N[C@H]1CN(CCC1)C1=CC(N(C(N1CC1=C(C=CC(=C1)F)Br)=O)C)=O	6-[3(R)-Amino-piperidin-1-yl]-1-(2-bromo-5-fluoro-benzyl)-3-methyl-1H-pyrimidine-2,4-dione	CompoundOrExample	10
N[C@H]1CN(CCC1)C1=CC(N(C(N1CC1=C(C=CC(=C1)F)Cl)=O)C)=O	6-[3(R)-Amino-piperidin-1-yl]-1-(2-chloro-5-fluoro-benzyl)-3-methyl-1H-pyrimidine-2,4-dione	CompoundOrExample	11
N[C@H]1CN(CCC1)C1=CC(N(C(N1CC1=C(C=C(C=C1)F)Cl)=O)C)=O	6-[3(R)-Amino-piperidin-1-yl]-1-(2-chloro-4-fluoro-benzyl)-3-methyl-1H-pyrimidine-2,4-dione	CompoundOrExample	12
N[C@H]1CN(CCC1)C1=CC(N(C(N1CC1=C(C=CC=C1)Br)=O)C)=O	6-[3(R)-Amino-piperidin-1-yl]-1-(2-bromo-benzyl)-3-methyl-1H-pyrimidine-2,4-dione	CompoundOrExample	13
NC1CN(CCCC1)C1=CC(N(C(N1CC1=C(C#N)C=CC=C1)=O)C)=O	2-{6-[3(±)-Amino-azepan-1-yl]-3-methyl-2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-ylmethyl}-benzonitrile	CompoundOrExample	15
NCCNC1=CC(N(C(N1CC1=C(C#N)C=CC=C1)=O)CC)=O	2-[6-(2-Amino-ethylamino)-3-ethyl-2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-ylmethyl]-benzonitrile	CompoundOrExample	16
N[C@H]1CN(CCC1)C1=CC(N(C(N1CC1=C(C#N)C=CC=C1)=O)CC1=CC(=CC=C1)C#N)=O	2-{6-[3(R)-Amino-piperidin-1-yl]-3-(3-cyano-benzyl)-2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-ylmethyl}-benzonitrile	CompoundOrExample	17
N[C@H]1CN(CCC1)C1=CC(N(C(N1CC1=C(C#N)C=CC=C1)=O)CC1=C(C=CC=C1)C#N)=O	2-{6-[3(R)-Amino-piperidin-1-yl]-3-(2-cyano-benzyl)-2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-ylmethyl}-benzonitrile	CompoundOrExample	18
N[C@H]1CN(CCC1)C1=CC(N(C(N1CC1=C(C#N)C=CC=C1)=O)CC1=CC=C(C=C1)C#N)=O	2-{6-[3(R)-Amino-piperidin-1-yl]-3-(4-cyano-benzyl)-2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-ylmethyl}-benzonitrile	CompoundOrExample	19
NC1CN(CCC1)C1=CC(N(C(N1CC1=C(C#N)C=CC=C1)=O)CC1=NC2=C(N1)C=CC=C2)=O	2-[6-(3-Amino-piperidin-1-yl)-3-(1H-benzoimidazol-2-ylmethyl)-2,4-dioxo-3,4-dihydro-2H-pyrimidin-1-ylmethyl]-benzonitrile	CompoundOrExample	20
N[C@H]1CN(CCC1)C1=CC(N(C(N1CC1=C(C#N)C=CC=C1)=O)CC1=CC=C(C=C1)N1N=CC=C1)=O	2-{6-[3(R)-Amino-piperidin-1-yl]-2,4-dioxo-3-(4-pyrazol-1-yl-benzyl)-3,4-dihydro-2H-pyrimidin-1-ylmethyl}-benzonitrile	CompoundOrExample	21
N[C@H]1CN(CCC1)C1=CC(N(C(N1CC1=C(C#N)C=CC=C1)=O)CC1=CC(=CC=C1)N1C=CC=C1)=O	2-{6-[3(R)-Amino-piperidin-1-yl]-2,4-dioxo-3-(3-pyrrol-1-yl-benzyl)-3,4-dihydro-2H-pyrimidin-1-ylmethyl}-benzonitrile	CompoundOrExample	22
S1C=C(C=C1)C#N	thiophene-3-carbonitrile	CompoundOrExample	23
COC(C1=CC(=CC=C1)CN1C(N(C(=CC1=O)N1C[C@@H](CCC1)N)CC1=C(C=CC=C1)C#N)=O)=O	3-{4-[3(R)-Amino-piperidin-1-yl]-3-(2-cyano-benzyl)-2,6-dioxo-3,6-dihydro-2H-pyrimidin-1-ylmethyl}-benzoic acid methyl ester	CompoundOrExample	24
N[C@H]1CN(CCC1)C=1N(C(N(C(C1)=O)CC=1C=C(C(=O)O)C=CC1)=O)CC1=C(C=CC=C1)C#N	3-{4-[3(R)-Amino-piperidin-1-yl]-3-(2-cyano-benzyl)-2,6-dioxo-3,6-dihydro-2H-pyrimidin-1-ylmethyl}-benzoic acid	CompoundOrExample	25
N[C@H]1CN(CCC1)C1=CC(N(C(N1CC1=C(C=CC(=C1)F)Br)=O)CC1=C(C=CC(=C1)F)Br)=O	6-[3(R)-Amino-piperidin-1-yl]-1,3-bis-(2-bromo-5-fluoro-benzyl)-1H-pyrimidine-2,4-dione	CompoundOrExample	26
