#SMILES	StructureSource	IdentifierType	IdentifierValue
CN1C(CC2C(C1)C2)C	USRE044186-20130430-C00221.CDX	CompoundOrExample	x
C1CCC(C1)(C(NC(=O)OC(C)(C)C)C(=O)O)C=C	USRE044186-20130430-C00081.CDX	CompoundOrExample	20
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@H](CSCC=3C=CC=CC3)N)=O	TABLE-US-00001:0:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00050.CDX	Example	7
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@H](CC=3C4=C(C=CC=C4)NC3)N)=O	TABLE-US-00001:1:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00051.CDX	Example	8
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@H](CCSC)N)=O	TABLE-US-00001:2:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00052.CDX	Example	9
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@H](CC(C)C)N)=O	TABLE-US-00001:3:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00053.CDX	Example	10
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@H](CCCC)N)=O	TABLE-US-00001:4:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00054.CDX	Example	11
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@H](C(C)C)NC)=O	TABLE-US-00001:5:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00055.CDX	Example	12
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@H](C(C)C)N)=O	TABLE-US-00001:6:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00056.CDX	Example	13
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@H](CCC=3C=CC=CC3)N)=O	TABLE-US-00001:7:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00057.CDX	Example	14
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@H](C(C)CC)N)=O	TABLE-US-00001:8:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00058.CDX	Example	15
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@]3(NCCC3)[H])=O	TABLE-US-00001:9:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00059.CDX	Example	16
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@H](CC3=CC=CC=C3)N)=O	TABLE-US-00001:10:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00060.CDX	Example	17
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@H](CSC(C)(C)C)N)=O	TABLE-US-00001:11:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00061.CDX	Example	18
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@]3(NCCCC3)[H])=O	TABLE-US-00001:12:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00062.CDX	Example	19
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@]3(NCC[C@@H]3C)[H])=O	TABLE-US-00001:13:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00063.CDX	Example	20
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@@]([C@@H](CC)C)([H])N)=O	TABLE-US-00001:14:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00064.CDX	Example	21
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@H](CC3CCCCC3)N)=O	TABLE-US-00001:15:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00065.CDX	Example	22
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@H](C=3C=CC=CC3)N)=O	TABLE-US-00001:16:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00066.CDX	Example	23
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@]([C@H](C)CC)(N)[H])=O	TABLE-US-00001:17:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00067.CDX	Example	24
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@H](CC3=CC=CC(=C3)C#N)N)=O	TABLE-US-00001:18:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00068.CDX	Example	25
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@H](CC3=CC=C(C=C3)C#N)N)=O	TABLE-US-00001:19:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00069.CDX	Example	26
[C@@H]12N([C@@H](C[C@@H]1C2)C#N)C([C@H](CC3=CC=C(C=C3)O)N)=O	TABLE-US-00001:20:USRE044186-20130430-C00049.CDX:R:USRE044186-20130430-C00070.CDX	Example	27
C12C(C[C@H](N1C([C@H](C(C)(C)O)N)=O)C#N)C2	USRE044186-20130430-C00075.CDX	Example	28
N1([C@@H](C[C@H]2[C@@H]1C2)C#N)C([C@@H](N)C3(CCCC3)C=C)=O	TABLE-US-00002:0:USRE044186-20130430-C00089.CDX:R:USRE044186-20130430-C00090.CDX	Example	30
N1([C@@H](C[C@H]2[C@@H]1C2)C#N)C([C@@H](N)C3(CCC3)C=C)=O	TABLE-US-00002:1:USRE044186-20130430-C00089.CDX:R:USRE044186-20130430-C00091.CDX	Example	31
N1([C@@H](C[C@H]2[C@@H]1C2)C#N)C([C@@H](N)C3(CCCCC3)C=C)=O	TABLE-US-00002:2:USRE044186-20130430-C00089.CDX:R:USRE044186-20130430-C00092.CDX	Example	32
N1([C@@H](C[C@H]2[C@@H]1C2)C#N)C([C@@H](N)C3(CCCCCC3)C=C)=O	TABLE-US-00002:3:USRE044186-20130430-C00089.CDX:R:USRE044186-20130430-C00093.CDX	Example	33
N1([C@@H](C[C@H]2[C@@H]1C2)C#N)C([C@@H](N)C3(CCCCCCC3)C=C)=O	TABLE-US-00002:4:USRE044186-20130430-C00089.CDX:R:USRE044186-20130430-C00094.CDX	Example	34
N1([C@@H](C[C@H]2[C@@H]1C2)C#N)C([C@@H](N)[C@@]3(C[C@H]([C@H](C3)C)C)C=C)=O	TABLE-US-00002:5:USRE044186-20130430-C00089.CDX:R:USRE044186-20130430-C00095.CDX	Example	35
N1([C@@H](C[C@H]2[C@@H]1C2)C#N)C([C@@H](N)C3(CCOCC3)C=C)=O	TABLE-US-00002:6:USRE044186-20130430-C00089.CDX:R:USRE044186-20130430-C00096.CDX	Example	36
N1([C@@H](C[C@H]2[C@@H]1C2)C#N)C([C@@H](N)C(C)(C)C=C)=O	TABLE-US-00002:8:USRE044186-20130430-C00089.CDX:R:USRE044186-20130430-C00098.CDX	Example	38
C1=CC(=CC=C1)C2(CCCC2)C(C(=O)O)NC(=O)OC(C)(C)C	USRE044186-20130430-C00153.CDX	Example	39
